cmip_var,input_vars,calculation,units,dimensions,frequency,realm,cell_methods,positive,cmor_table,version,vtype,size,nsteps,filename,long_name,standard_name
uas,fld_s03i209,,m s-1,time lat lon_0,10minPt,atmos,area: time: point,,AUS2200_A10min,AUS2200,float32,22048000,2304,umnsa_spec,10 METRE WIND U-COMP,eastward_wind
vas,fld_s03i210,,m s-1,time lat_0 lon,10minPt,atmos,area: time: point,,AUS2200_A10min,AUS2200,float32,22058400,2304,umnsa_spec,10 METRE WIND V-COMP,northward_wind
tas,fld_s03i236,,K,time lat lon,10minPt,atmos,area: time: point,,AUS2200_A10min,AUS2200,float32,22048000,2304,umnsa_spec,TEMPERATURE AT 1.5M,air_temperature
huss,fld_s03i237,,1,time lat lon,10minPt,atmos,area: time: point,,AUS2200_A10min,AUS2200,float32,22048000,2304,umnsa_spec,SPECIFIC HUMIDITY  AT 1.5M,specific_humidity
tdps,fld_s03i250,,K,time lat lon,10minPt,atmos,area: time: point,,AUS2200_A10min,AUS2200,float32,22048000,2304,umnsa_spec,DEWPOINT AT 1.5M (K),dew_point_temperature
evspsblpot,fld_s03i335,,kg m-2 s-1,time pseudo_level lat lon,10minPt,atmos,area: time: point,,,AUS2200,,float32,110240000,2304,umnsa_spec,POTENTIAL EVAPORATION ON TILES,water_potential_evaporation_flux
wsgmax10m,fld_s03i463,,m s-1,time lat lon,10minPt,atmos,area: time: point,,AUS2200_A10min,AUS2200,float32,22048000,2304,umnsa_spec,WIND GUST,wind_speed_of_gust
wsgmax_max,fld_s03i463_max,,m s-1,time_0 lat lon,10min,atmos,area: time: maximum,,,AUS2200,,float32,22048000,2304,umnsa_spec,WIND GUST,wind_speed_of_gust
reflmax,fld_s04i111,,dBZ,time lat lon,10minPt,atmos,area: time: point,,AUS2200_A10min,AUS2200,float32,22048000,2304,umnsa_spec,maximum_radar_reflectivity_in_the_grid_column_due_to_all_hydrometeors,
pralsprof,fld_s04i201,,kg m-2,time_0 lat lon,10min,atmos,area: time: mean,,AUS2200_A10min,AUS2200,float32,22048000,2304,umnsa_spec,LARGE SCALE RAIN AMOUNT     KG/M2/TS,stratiform_rainfall_amount
pralsns,fld_s04i202,,kg m-2,time_0 lat lon,10min,atmos,area: time: mean,,AUS2200_A10min,AUS2200,float32,22048000,2304,umnsa_spec,LARGE SCALE SNOW AMOUNT     KG/M2/TS,stratiform_snowfall_amount
cllow,fld_s09i203,,1,time lat lon,10minPt,atmos,area: time: point,,AUS2200_A10min,AUS2200,float32,22048000,2304,umnsa_spec,LOW CLOUD AMOUNT,low_type_cloud_area_fraction
clmed,fld_s09i204,,1,time lat lon,10minPt,atmos,area: time: point,,AUS2200_A10min,AUS2200,float32,22048000,2304,umnsa_spec,MEDIUM CLOUD AMOUNT,medium_type_cloud_area_fraction
clhigh,fld_s09i205,,1,time lat lon,10minPt,atmos,area: time: point,,AUS2200_A10min,AUS2200,float32,22048000,2304,umnsa_spec,HIGH CLOUD AMOUNT,high_type_cloud_area_fraction
psl,fld_s16i222,,Pa,time lat lon,10minPt,atmos,area: time: point,,AUS2200_A10min,AUS2200,float32,22048000,2304,umnsa_spec,PRESSURE AT MEAN SEA LEVEL,air_pressure_at_sea_level
flashrate,fld_s21i100,,s-1,time lat lon,10minPt,atmos,area: time: point,,AUS2200_A10min,AUS2200,float32,22048000,2304,umnsa_spec,lightning_flash_rate,
storm,fld_s21i101,,1,time lat lon,10minPt,atmos,area: time: point,,AUS2200_A10min,AUS2200,float64,44096000,2304,umnsa_spec,flag_for_location_of_storms,
nflash,fld_s21i104,,1,time_0 lat lon,10min,atmos,area: time: mean,,AUS2200_A10min,AUS2200,float32,22048000,2304,umnsa_spec,Number_of_lightning_flashes,
amdry,fld_s30i403,,kg m-2,time lat lon,10minPt,atmos,area: time: point,,,AUS2200,,float32,22048000,2304,umnsa_spec,TOTAL COLUMN DRY MASS  RHO GRID,
amwet,fld_s30i404,,kg m-2,time lat lon,10minPt,atmos,area: time: point,,,AUS2200,,float32,22048000,2304,umnsa_spec,TOTAL COLUMN WET MASS  RHO GRID,atmosphere_mass_per_unit_area
lwp,fld_s30i405,,kg m-2,time lat lon,10minPt,atmos,area: time: point,,AUS2200_A10min,AUS2200,float32,22048000,2304,umnsa_spec,TOTAL COLUMN QCL  RHO GRID,atmosphere_cloud_liquid_water_content
clivi,fld_s30i406,,kg m-2,time lat lon,10minPt,atmos,area: time: point,,AUS2200_A10min,AUS2200,float32,22048000,2304,umnsa_spec,TOTAL COLUMN QCF  RHO GRID,atmosphere_cloud_ice_content
# these are variables that can be potentially calculated. Use with caution!,,,,,,,,,,,,,,,
sifllatstop,fld_s03i234 fld_s00i031,"maskSeaIce(var[0],var[1])",W m-2,time lat lon,1hrPt,seaIce,area: time: point,up,AUS2200_A1hr,AUS2200,float32,22048000,384,umnsa_slv,,
prw,fld_s30i404 fld_s30i403 fld_s30i405 fld_s30i406,var[0]-(var[1]+var[2]+var[3]),kg m-2,time lat lon,10minPt,atmos,area: time: point,,AUS2200_A10min,AUS2200,float32,22048000,2304,umnsa_spec,,
mrsos,fld_s08i223,topsoil(var[0]),kg m-2,time depth lat lon,1hrPt,land,area: time: point,,AUS2200_A1hr,AUS2200,float32,22048000,384,umnsa_slv,,
mrso,fld_s08i223,var[0].sum(1),kg m-2,time depth lat lon,1hrPt,land,area: time: point,,AUS2200_A1hr,AUS2200,float32,22048000,384,umnsa_slv,,
