cmor_var;input_vars;calculation;units;dimensions;frequency;realm;cell_methods;positive;cmor_table;version;vtype;size;nsteps;filename;long_name;standard_name
hfdsn;fld_s08i202;;W m-2;time lat lon;mon;landIce;area: mean where land time: mean;down;CMIP6_LImon;CM2;float32;110592;12;cw323a.pm;Downward Heat Flux into Snow Where Land over Land;surface_downward_heat_flux_in_snow
hfdsn;fld_s08i202;;W m-2;time lat lon;mon;landIce;area: mean where land time: mean;down;CMIP6_LImon;ESM;float32;110592;12;cw323a.pm;Downward Heat Flux into Snow Where Land over Land;surface_downward_heat_flux_in_snow
sbl;fld_s03i298;;kg m-2 s-1;time lat lon;mon;landIce;area: mean where land time: mean;;CMIP6_LImon;CM2;float32;110592;12;cw323a.pm;SUBLIM. SURFACE (GBM) : RATE KG/M2/S;surface_snow_and_ice_sublimation_flux
sbl;fld_s03i298;;kg m-2 s-1;time lat lon;mon;landIce;area: mean where land time: mean;;CMIP6_LImon;ESM;float32;110592;12;cw323a.pm;SUBLIM. SURFACE (GBM) : RATE KG/M2/S;surface_snow_and_ice_sublimation_flux
sbl;fld_s03i331 fld_s03i317;"average_tile(var[0];tilefrac=var[1];lfrac=0)";kg m-2 s-1;time pseudo_level_1 lat lon;mon;landIce;area: mean where land time: mean;;CMIP6_LImon;CM2;float32;1880064;12;cw323a.pm;Surface Snow and Ice Sublimation Flux;surface_snow_and_ice_sublimation_flux
rlut;fld_s03i332;;W m-2;time lat lon;mon;atmos;area: time: mean;;CMIP6_Amon;CM2;float32;110592;12;cw323a.pm;TOA OUTGOING LW RAD AFTER B.LAYER;toa_outgoing_longwave_flux
sftlf;fld_s03i395;;1;time lat lon;mon;land;area: time: mean;;CMIP6_fx;CM2;float32;110592;12;cw323a.pm;FRACTION OF LAND;land_area_fraction
tauu;fld_s03i460;;Pa;time lat lon_u;mon;atmos;area: time: mean;;CMIP6_Amon;CM2;float32;110592;12;cw323a.pm;X-COMP SURFACE BL STRESS;surface_downward_eastward_stress
tauv;fld_s03i461;;Pa;time lat_v lon;mon;atmos;area: time: mean;;CMIP6_Amon;CM2;float32;111360;12;cw323a.pm;Y-COMP SURFACE BL STRESS;surface_downward_northward_stress
agesno;fld_s03i832;;day;time pseudo_level_1 lat lon;mon;landIce land;area: time: mean;;CMIP6_LImon;CM2;float32;1880064;12;cw323a.pm;CABLE SNOW AGE ON TILES;age_of_surface_snow
prrc;fld_s05i205;;kg m-2 s-1;time lat lon;mon;atmos;area: time: mean;;CM2_mon;CM2;float32;110592;12;cw323a.pm;CONVECTIVE RAINFALL RATE     KG/M2/S;convective_rainfall_flux
prsnc;fld_s05i206;;kg m-2 s-1;time lat lon;mon;atmos;area: time: mean;;CM2_mon;CM2;float32;110592;12;cw323a.pm;CONVECTIVE SNOWFALL RATE     KG/M2/S;convective_snowfall_flux
prra;fld_s05i214;;kg m-2 s-1;time lat lon;mon;atmos;area: time: mean;;CM2_mon;CM2;float32;110592;12;cw323a.pm;TOTAL RAINFALL RATE: LS+CONV KG/M2/S;rainfall_flux
prsn;fld_s05i215;;kg m-2 s-1;time lat lon;mon;atmos;area: time: mean;;CMIP6_Amon;CM2;float32;110592;12;cw323a.pm;TOTAL SNOWFALL RATE: LS+CONV KG/M2/S;snowfall_flux
pr;fld_s05i216;;kg m-2 s-1;time lat lon;mon;atmos;area: time: mean;;CMIP6_Amon;CM2;float32;110592;12;cw323a.pm;TOTAL PRECIPITATION RATE     KG/M2/S;precipitation_flux
ci;fld_s05i269;;1;time lat lon;mon;atmos;area: time: mean;;CMIP6_Amon;CM2;float32;110592;12;cw323a.pm;deep convection indicator;
sci;fld_s05i270;;1;time lat lon;mon;atmos;area: time: mean;;CMIP6_Amon;CM2;float32;110592;12;cw323a.pm;shallow convection indicator;
snw;fld_s08i023;;kg m-2;time lat lon;mon;landIce land;area: time: mean;;CMIP6_LImon;CM2;float32;110592;12;cw323a.pm;SNOW MASS AFTER HYDROLOGY      KG/M2;surface_snow_amount
snw;fld_s08i236 fld_s03i317;average_tile(var[0],tilefrac=var[1],lfrac=0);kg m-2;time lat lon;mon;landIce land;area: time: mean;;CMIP6_LImon;ESM;float32;110592;12;cw323a.pm;SNOW MASS AFTER HYDROLOGY      KG/M2;surface_snow_amount
snw;fld_s08i236;average_tile(var[0],lfrac=0);kg m-2;time lat lon;mon;landIce land;area: time: mean;;CMIP6_LImon;CM2;float32;110592;12;cw323a.pm;SNOW MASS AFTER HYDROLOGY      KG/M2;surface_snow_amount
mrsol;fld_s08i223;;kg m-2;time depth lat lon;mon;land;area: time: mean;;CMIP6_Emon;CM2;float32;663552;12;cw323a.pm;SOIL MOISTURE CONTENT IN A LAYER;mass_content_of_water_in_soil_layer
mrsol;fld_s08i223;;kg m-2;time depth lat lon;mon;land;area: time: mean;;CMIP6_Emon;ESM;float32;663552;12;cw323a.pm;SOIL MOISTURE CONTENT IN A LAYER;mass_content_of_water_in_soil_layer
tsl;fld_s08i225;;K;time depth lat lon;mon;land;area: time: mean;;CMIP6_Lmon;CM2;float32;663552;12;cw323a.pm;DEEP SOIL TEMP. AFTER HYDROLOGY DEGK;soil_temperature
snm;fld_s08i231;;kg m-2 s-1;time lat lon;mon;landIce land;area: time: mean;;CMIP6_LImon;CM2;float32;110592;12;cw323a.pm;surface_snow_melt_flux_where_land;
