cmor_var;input_vars;calculation;units;dimensions;frequency;realm;cell_methods;positive;cmor_table;version;vtype;size;nsteps;filename;long_name;standard_name
salt_nonlocal_KPP;salt_nonlocal_KPP;;kg/(sec*m^2);time st_ocean yt_ocean xt_ocean;mon;ocean;area: time: mean;;;CM2;float32;21600000;36;ocean_month.nc-;rho*dzt*nonlocal tendency from KPP;
salt_eta_smooth;salt_eta_smooth;;kg/(sec*m^2);time yt_ocean xt_ocean;mon;ocean;area: time: mean;;;CM2;float32;432000;36;ocean_month.nc-;surface smoother for salt;
salt_vdiffuse_diff_cbt_conv;salt_vdiffuse_diff_cbt_conv;;kg/(sec*m^2);time st_ocean yt_ocean xt_ocean;mon;ocean;area: time: mean;;;CM2;float32;21600000;36;ocean_month.nc-;vert diffusion due to diff_cbt_conv for Practical Salinity;
salt_vdiffuse_k33;salt_vdiffuse_k33;;kg/(sec*m^2);time st_ocean yt_ocean xt_ocean;mon;ocean;area: time: mean;;;CM2;float32;21600000;36;ocean_month.nc-;vert diffusion due to K33 from neutral diffusion for Practical Salinity;
salt_vdiffuse_sbc;salt_vdiffuse_sbc;;kg/(sec*m^2);time st_ocean yt_ocean xt_ocean;mon;ocean;area: time: mean;;;CM2;float32;21600000;36;ocean_month.nc-;vert diffusion due to surface flux for Practical Salinity;
salt_rivermix;salt_rivermix;;kg/(sec*m^2);time st_ocean yt_ocean xt_ocean;mon;ocean;area: time: mean;;;CM2;float32;21600000;36;ocean_month.nc-;rivermix*rho_dzt*tracer for salt;
salt_sigma_diff;salt_sigma_diff;;kg/(sec*m^2);time st_ocean yt_ocean xt_ocean;mon;ocean;area: time: mean;;;CM2;float32;21600000;36;ocean_month.nc-;thk wghtd sigma-diffusion on salt;
average_T1;average_T1;;days since 0951-01-01 00:00:00;time;monPt;ocean;area: time: point;;;CM2;float64;8;36;ocean_month.nc-;Start time for average period;
average_T2;average_T2;;days since 0951-01-01 00:00:00;time;monPt;ocean;area: time: point;;;CM2;float64;8;36;ocean_month.nc-;End time for average period;
average_DT;average_DT;;days;time;monPt;ocean;area: time: point;;;CM2;float64;8;36;ocean_month.nc-;Length of average period;
#Variables presenting definitions with different inputs;;;;;;;;;;;;;;;
